1000, 0.03256, 0.005
2000, 0.01870, 0.005
3000, 0.01528, 0.005
4000, 0.01333, 0.005
5000, 0.01251, 0.005
6000, 0.01154, 0.005
7000, 0.01102, 0.005
8000, 0.01054, 0.005
9000, 0.00995, 0.005
10000, 0.00988, 0.005
11000, 0.01181, 0.02
12000, 0.01014, 0.02
13000, 0.00965, 0.02
14000, 0.00896, 0.02
15000, 0.00878, 0.02
16000, 0.00801, 0.02
17000, 0.00791, 0.02
18000, 0.00801, 0.02
19000, 0.00790, 0.02
20000, 0.00731, 0.02
21000, 0.00724, 0.02
22000, 0.00691, 0.02
23000, 0.00704, 0.02
24000, 0.00675, 0.02
25000, 0.00668, 0.02
26000, 0.00661, 0.02
27000, 0.00663, 0.02
28000, 0.00612, 0.02
29000, 0.00629, 0.02
30000, 0.00617, 0.02
31000, 0.00616, 0.02
32000, 0.00602, 0.02
33000, 0.00607, 0.02
34000, 0.00598, 0.02
35000, 0.00574, 0.02
36000, 0.00594, 0.02
37000, 0.00582, 0.02
38000, 0.00564, 0.02
39000, 0.00564, 0.02
40000, 0.00556, 0.02
41000, 0.00546, 0.02
42000, 0.00541, 0.02
43000, 0.00532, 0.02
44000, 0.00533, 0.02
45000, 0.00542, 0.02
46000, 0.00511, 0.02
47000, 0.00518, 0.02
48000, 0.00509, 0.02
49000, 0.00508, 0.02
50000, 0.00500, 0.02
51000, 0.00493, 0.02
52000, 0.00511, 0.02
53000, 0.00501, 0.02
54000, 0.00474, 0.02
55000, 0.00483, 0.02
56000, 0.00487, 0.02
57000, 0.00465, 0.02
58000, 0.00477, 0.02
59000, 0.00478, 0.02
60000, 0.00459, 0.02
61000, 0.00469, 0.02
62000, 0.00467, 0.02
63000, 0.00455, 0.02
64000, 0.00463, 0.02
65000, 0.00469, 0.02
66000, 0.00474, 0.02
67000, 0.00465, 0.02
68000, 0.00449, 0.02
69000, 0.00439, 0.02
70000, 0.00439, 0.02
71000, 0.00439, 0.02
72000, 0.00442, 0.02
73000, 0.00433, 0.02
74000, 0.00434, 0.02
75000, 0.00424, 0.02
76000, 0.00430, 0.02
77000, 0.00414, 0.02
78000, 0.00433, 0.02
79000, 0.00424, 0.02
80000, 0.00431, 0.02
81000, 0.00431, 0.02
82000, 0.00419, 0.02
83000, 0.00420, 0.02
84000, 0.00416, 0.02
85000, 0.00415, 0.02
86000, 0.00411, 0.02
87000, 0.00404, 0.02
88000, 0.00403, 0.02
89000, 0.00398, 0.02
90000, 0.00405, 0.02
91000, 0.00414, 0.02
92000, 0.00395, 0.02
93000, 0.00397, 0.02
94000, 0.00391, 0.02
95000, 0.00378, 0.02
96000, 0.00395, 0.02
97000, 0.00402, 0.02
98000, 0.00379, 0.02
99000, 0.00394, 0.02
100000, 0.00387, 0.02
101000, 0.00388, 0.02
102000, 0.00398, 0.02
103000, 0.00386, 0.02
104000, 0.00388, 0.02
105000, 0.00376, 0.02
106000, 0.00375, 0.02
107000, 0.00374, 0.02
108000, 0.00380, 0.02
109000, 0.00369, 0.02
110000, 0.00368, 0.02
111000, 0.00372, 0.02
112000, 0.00367, 0.02
113000, 0.00365, 0.02
114000, 0.00376, 0.02
